date,open,high,low,close
2021-02-13,"47,900.11","47,980.18","46,392.28","47,021.02"
2021-02-12,"47,877.04","48,745.73","46,424.98","47,504.85"
2021-02-11,"44,898.71","48,463.47","44,187.76","47,909.33"
2021-02-10,"46,469.76","47,145.57","43,881.15","44,918.18"
2021-02-09,"46,184.99","48,003.72","45,166.96","46,481.11"
2021-02-08,"38,886.83","46,203.93","38,076.32","46,196.46"
2021-02-07,"39,250.19","39,621.84","37,446.15","38,903.44"
2021-02-06,"38,138.39","40,846.55","38,138.39","39,266.01"
2021-02-05,"36,931.55","38,225.91","36,658.76","38,144.31"
2021-02-04,"37,475.11","38,592.18","36,317.50","36,926.07"
2021-02-03,"35,510.82","37,480.19","35,443.98","37,472.09"
2021-02-02,"33,533.20","35,896.88","33,489.22","35,510.29"
2021-02-01,"33,114.58","34,638.21","32,384.23","33,537.18"
2021-01-31,"34,270.88","34,288.33","32,270.18","33,114.36"
2021-01-30,"34,295.93","34,834.71","32,940.19","34,269.52"
2021-01-29,"34,318.67","38,406.26","32,064.81","34,316.39"
2021-01-28,"30,441.04","31,891.30","30,023.21","31,649.61"
2021-01-27,"32,564.03","32,564.03","29,367.14","30,432.55"
2021-01-26,"32,358.61","32,794.55","31,030.27","32,569.85"
2021-01-25,"32,285.80","34,802.74","32,087.79","32,366.39"
2021-01-24,"32,064.38","32,944.01","31,106.69","32,289.38"
2021-01-23,"32,985.76","33,360.98","31,493.16","32,067.64"
2021-01-22,"30,817.63","33,811.85","28,953.37","33,005.76"
2021-01-21,"35,549.40","35,552.68","30,250.75","30,825.70"
2021-01-20,"36,050.11","36,378.33","33,570.48","35,547.75"
2021-01-19,"36,642.23","37,755.89","36,069.80","36,069.80"
2021-01-18,"35,792.24","37,299.29","34,883.84","36,630.07"
2021-01-17,"36,163.65","36,722.35","34,069.32","35,791.28"
2021-01-16,"36,821.65","37,864.37","35,633.55","36,178.14"
2021-01-15,"39,156.71","39,577.71","34,659.59","36,825.37"
2021-01-14,"37,325.11","39,966.41","36,868.56","39,187.33"
2021-01-13,"33,915.12","37,599.96","32,584.67","37,316.36"
2021-01-12,"35,516.36","36,568.53","32,697.98","33,922.96"
2021-01-11,"38,346.53","38,346.53","30,549.60","35,566.66"
2021-01-10,"40,254.22","41,420.19","35,984.63","38,356.44"
2021-01-09,"40,788.64","41,436.35","38,980.88","40,254.55"
2021-01-08,"39,381.77","41,946.74","36,838.64","40,797.61"
2021-01-07,"36,833.88","40,180.37","36,491.19","39,371.04"
2021-01-06,"34,013.61","36,879.70","33,514.04","36,824.36"
2021-01-05,"31,977.04","34,437.59","30,221.19","33,992.43"
2021-01-04,"32,810.95","33,440.22","28,722.76","31,971.91"
2021-01-03,"32,129.41","34,608.56","32,052.32","32,782.02"
2021-01-02,"29,376.46","33,155.12","29,091.18","32,127.27"
2021-01-01,"28,994.01","29,600.63","28,803.59","29,374.15"
2020-12-31,"28,841.57","29,244.88","28,201.99","29,001.72"
2020-12-30,"27,360.09","28,937.74","27,360.09","28,840.95"
2020-12-29,"27,081.81","27,370.72","25,987.30","27,362.44"
2020-12-28,"26,280.82","27,389.11","26,207.64","27,084.81"
2020-12-27,"26,439.37","28,288.84","25,922.77","26,272.29"
2020-12-26,"24,677.02","26,718.07","24,522.69","26,437.04"
2020-12-25,"23,733.57","24,710.10","23,463.67","24,664.79"
2020-12-24,"23,240.20","23,768.34","22,777.60","23,735.95"
2020-12-23,"23,781.97","24,024.49","22,802.65","23,241.35"
2020-12-22,"22,794.04","23,789.90","22,430.61","23,783.03"
2020-12-21,"23,474.46","24,059.98","22,159.37","22,803.08"
2020-12-20,"23,861.77","24,209.66","23,147.71","23,477.29"
2020-12-19,"23,132.87","24,085.86","22,826.47","23,869.83"
2020-12-18,"22,806.80","23,238.60","22,399.81","23,137.96"
2020-12-17,"21,308.35","23,642.66","21,234.68","22,805.16"
2020-12-16,"19,418.82","21,458.91","19,298.32","21,310.60"
2020-12-15,"19,246.92","19,525.01","19,079.84","19,417.08"
2020-12-14,"19,144.49","19,305.10","19,012.71","19,246.64"
2020-12-13,"18,806.77","19,381.54","18,734.33","19,142.38"
2020-12-12,"18,051.32","18,919.55","18,046.04","18,803.66"
2020-12-11,"18,263.93","18,268.45","17,619.53","18,058.90"
2020-12-10,"18,553.30","18,553.30","17,957.06","18,264.99"
2020-12-09,"18,320.88","18,626.29","17,935.55","18,553.92"
2020-12-08,"19,191.53","19,283.48","18,269.95","18,321.14"
2020-12-07,"19,343.13","19,411.83","18,931.14","19,191.63"
2020-12-06,"19,154.18","19,390.50","18,897.89","19,345.12"
2020-12-05,"18,698.38","19,160.45","18,590.19","19,154.23"
2020-12-04,"19,446.97","19,511.40","18,697.19","18,699.77"
2020-12-03,"19,205.93","19,566.19","18,925.79","19,445.40"
2020-12-02,"18,801.74","19,308.33","18,347.72","19,201.09"
2020-12-01,"19,633.77","19,845.97","18,321.92","18,803.00"
2020-11-30,"18,178.32","19,749.26","18,178.32","19,625.84"
2020-11-29,"17,719.63","18,283.63","17,559.12","18,177.48"
2020-11-28,"17,112.93","17,853.94","16,910.65","17,717.41"
2020-11-27,"17,153.91","17,445.02","16,526.42","17,108.40"
2020-11-26,"18,729.84","18,866.29","16,351.04","17,150.62"
2020-11-25,"19,104.41","19,390.96","18,581.15","18,732.12"
2020-11-24,"18,365.02","19,348.27","18,128.66","19,107.46"
2020-11-23,"18,370.02","18,711.43","18,000.80","18,364.12"
2020-11-22,"18,642.23","18,688.97","17,671.38","18,370.00"
2020-11-21,"18,621.32","18,936.62","18,444.36","18,642.23"
2020-11-20,"17,817.08","18,773.23","17,765.79","18,621.31"
2020-11-19,"17,803.86","18,119.55","17,382.55","17,817.09"
2020-11-18,"17,645.19","18,393.95","17,352.91","17,804.01"
2020-11-17,"16,685.69","17,782.92","16,564.54","17,645.41"
2020-11-16,"15,955.58","16,816.18","15,880.71","16,716.11"
2020-11-15,"16,068.14","16,123.11","15,793.53","15,955.59"
2020-11-14,"16,317.81","16,317.81","15,749.19","16,068.14"
2020-11-13,"16,276.44","16,463.18","15,992.15","16,317.81"
2020-11-12,"15,701.30","16,305.00","15,534.77","16,276.34"
2020-11-11,"15,290.91","15,916.26","15,290.01","15,701.34"
2020-11-10,"15,332.35","15,450.33","15,124.96","15,290.90"
2020-11-09,"15,479.60","15,785.14","14,865.53","15,332.32"
2020-11-08,"14,833.75","15,637.32","14,744.11","15,479.57"
2020-11-07,"15,565.88","15,737.10","14,423.20","14,833.75"
2020-11-06,"15,579.73","15,903.44","15,226.84","15,565.88"
2020-11-05,"14,133.73","15,706.40","14,102.09","15,579.85"
2020-11-04,"13,950.49","14,218.77","13,580.47","14,133.71"
2020-11-03,"13,550.45","13,984.98","13,325.44","13,950.30"
2020-11-02,"13,737.03","13,808.32","13,243.16","13,550.49"
2020-11-01,"13,781.00","13,862.03","13,628.38","13,737.11"
2020-10-31,"13,546.53","14,028.21","13,457.53","13,781.00"
2020-10-30,"13,437.87","13,651.52","13,136.20","13,546.52"
2020-10-29,"13,271.30","13,612.05","12,980.06","13,437.88"
2020-10-28,"13,654.21","13,837.70","12,932.25","13,271.29"
2020-10-27,"13,075.24","13,759.67","13,060.84","13,654.22"
2020-10-26,"13,031.20","13,225.30","12,822.38","13,075.25"
2020-10-24,"13,108.06","13,329.18","12,910.06","13,031.17"
2020-10-23,"12,931.57","13,145.07","12,885.75","13,108.06"
2020-10-22,"12,971.55","13,015.96","12,752.65","12,931.54"
2020-10-21,"12,801.64","13,161.59","12,717.09","12,965.89"
2020-10-20,"11,913.08","13,184.57","11,900.93","12,823.69"
2020-10-19,"11,745.97","11,999.92","11,681.48","11,916.33"
2020-10-18,"11,495.04","11,799.09","11,408.29","11,742.04"
2020-10-17,"11,355.98","11,483.36","11,347.58","11,483.36"
2020-10-16,"11,322.12","11,386.26","11,285.35","11,358.10"
2020-10-15,"11,502.83","11,540.06","11,223.01","11,322.12"
2020-10-14,"11,426.60","11,569.91","11,303.60","11,495.35"
2020-10-13,"11,429.05","11,539.98","11,307.83","11,429.51"
2020-10-12,-,-,-,-
2020-10-11,-,-,-,-
2020-10-10,"11,296.08","11,428.81","11,288.63","11,384.18"
2020-10-09,"11,059.14","11,442.21","11,056.94","11,296.36"
2020-10-08,-,-,-,-
2020-10-07,"10,677.63","10,939.80","10,569.82","10,923.63"
2020-10-06,"10,619.80","10,687.27","10,591.96","10,679.14"
2020-10-05,"10,799.78","10,803.46","10,565.20","10,621.66"
2020-10-04,"10,688.03","10,804.00","10,646.44","10,804.00"
2020-10-03,"10,567.92","10,700.79","10,531.34","10,684.43"
2020-10-02,"10,583.81","10,614.09","10,527.98","10,565.49"
2020-10-01,"10,624.39","10,662.81","10,440.31","10,585.16"
2020-09-30,"10,785.01","10,915.84","10,493.55","10,623.33"
2020-09-29,"10,845.41","10,856.53","10,689.67","10,787.62"
2020-09-28,"10,712.46","10,858.94","10,665.34","10,848.83"
2020-09-27,"10,771.64","10,949.12","10,716.68","10,721.33"
2020-09-26,"10,752.94","10,804.73","10,643.46","10,774.43"
2020-09-25,"10,702.24","10,778.50","10,682.08","10,754.44"
2020-09-24,"10,747.47","10,757.55","10,594.05","10,702.29"
2020-09-23,"10,227.48","10,765.79","10,215.21","10,745.55"
2020-09-22,"10,539.46","10,637.85","10,185.77","10,225.86"
2020-09-21,"10,459.62","10,568.08","10,382.73","10,538.46"
2020-09-20,"10,934.93","10,988.30","10,380.26","10,462.26"
2020-09-19,"11,095.87","11,095.87","10,814.48","10,938.27"
2020-09-18,"10,933.75","11,134.09","10,909.62","11,094.35"
2020-09-17,"10,951.82","11,034.91","10,829.66","10,944.59"
2020-09-16,"10,973.25","11,037.42","10,774.63","10,948.99"
2020-09-15,"10,797.76","11,100.12","10,704.88","10,974.91"
2020-09-14,"10,677.75","10,938.63","10,656.46","10,796.95"
2020-09-13,"10,328.73","10,800.01","10,266.01","10,680.84"
2020-09-12,"10,452.40","10,577.21","10,224.33","10,323.76"
2020-09-11,"10,409.86","10,578.84","10,292.39","10,442.17"
2020-09-10,"10,369.03","10,434.92","10,140.84","10,400.92"
2020-09-09,"10,242.33","10,503.91","10,238.14","10,363.14"
2020-09-08,"10,134.15","10,350.54","10,017.25","10,242.35"
2020-09-07,"10,369.31","10,414.78","9,945.11","10,131.52"
2020-09-06,"10,281.00","10,399.15","9,916.49","10,369.56"
2020-09-05,"10,167.22","10,353.93","10,056.89","10,280.35"
2020-09-04,"10,512.53","10,581.57","9,946.68","10,169.57"
2020-09-03,"10,230.37","10,663.92","10,207.94","10,511.81"
2020-09-02,"11,407.19","11,443.02","10,182.46","10,245.30"
2020-09-01,"11,964.82","11,964.82","11,290.79","11,414.03"
2020-08-31,"11,679.32","12,067.08","11,601.13","11,970.48"
